2016/08/24 16,20,23,24,28,31,33
2016/08/27 3,5,11,12,29,30,40
2016/08/31 2,9,12,14,25,35,38
2016/09/03 8,12,13,20,25,27,36
2016/09/07 15,16,25,27,28,31,40
2016/09/10 8,10,14,18,30,35,40
2016/09/14 3,5,21,24,29,30,35
2016/09/17 5,8,12,19,31,34,39
2016/09/21 4,16,19,23,32,38,40
2016/09/24 6,15,19,23,28,30,33
2016/09/28 2,5,9,17,21,22,38
2016/10/01 1,11,13,14,15,31,32
2016/10/05 6,7,23,31,36,38,39
2016/10/08 5,9,18,19,22,25,29
2016/10/12 3,4,12,15,20,22,23
2016/10/15 4,20,21,22,23,24,28
2016/10/19 8,11,18,20,23,29,32
2016/10/22 3,5,8,10,19,26,33
2016/10/26 1,20,23,26,27,29,38
2016/10/29 2,10,15,33,34,35,39
2016/11/02 14,22,24,25,33,39,40
2016/11/05 3,5,7,16,17,31,35
2016/11/09 7,9,13,14,18,25,27
2016/11/12 1,6,14,20,22,35,39
2016/11/16 3,9,13,14,15,23,30
2016/11/19 8,10,26,29,33,37,39
2016/11/23 2,10,14,26,30,32,34
2016/11/26 2,14,17,25,31,36,37
2016/11/30 1,12,13,29,35,36,37
2016/12/03 3,6,10,14,20,22,23
2016/12/07 7,10,25,32,36,37,39
2016/12/10 8,10,11,17,18,31,39
2016/12/14 8,9,13,16,27,34,39
2016/12/17 8,10,11,18,20,24,33
2016/12/21 2,3,28,32,33,38,39
2016/12/24 6,11,15,16,25,30,37
2016/12/28 12,14,25,26,28,29,32
2016/12/31 1,2,30,33,35,37,39
2017/01/04 9,16,20,21,22,34,40
2017/01/07 2,4,13,18,26,31,37
2017/01/11 3,8,21,27,30,32,38
2017/01/14 1,5,14,20,25,30,35
2017/01/18 6,7,11,12,33,36,37
2017/01/21 3,10,13,16,25,35,39
2017/01/25 10,13,16,17,21,27,40
2017/01/28 1,16,19,28,33,35,36
2017/02/01 15,21,22,24,27,32,40
2017/02/04 2,5,7,8,10,29,37
2017/02/08 15,21,24,28,32,33,36
2017/02/11 1,4,13,14,22,32,33
2017/02/15 2,5,16,21,22,39,40
2017/02/18 2,8,9,22,28,33,37
2017/02/22 1,10,20,27,33,34,40
2017/02/25 1,7,10,19,27,31,33
2017/03/01 6,8,13,14,17,31,40
2017/03/04 9,10,14,22,23,25,33
2017/03/08 3,5,9,13,20,24,40
2017/03/11 11,22,27,31,34,35,36
2017/03/15 1,2,8,14,20,24,39
2017/03/18 8,9,20,26,28,29,37
2017/03/22 3,16,18,19,28,29,32
2017/03/25 10,14,17,32,33,36,38
2017/03/29 12,19,20,23,31,32,39
2017/04/01 4,6,11,13,26,33,36
2017/04/05 9,11,25,26,27,28,29
2017/04/08 2,9,14,17,19,32,37
2017/04/12 2,4,6,20,26,34,35
2017/04/15 3,5,8,15,18,25,32
2017/04/19 1,2,17,24,30,31,32
2017/04/22 1,23,26,27,29,35,37
2017/04/26 2,3,8,9,25,30,33
2017/04/29 6,15,16,19,23,24,34
2017/05/03 6,12,14,20,24,28,36
2017/05/06 3,8,14,17,30,34,38
2017/05/10 11,16,17,29,32,33,37
2017/05/13 6,9,15,21,27,29,34
2017/05/17 1,5,6,12,13,16,18
2017/05/20 5,13,15,20,29,31,37
2017/05/24 7,15,18,19,22,29,40
2017/05/27 4,5,7,12,23,28,39
2017/05/31 2,9,19,23,27,28,34
2017/06/03 5,6,8,19,24,31,35
2017/06/07 4,8,10,15,20,23,28
2017/06/10 3,15,18,20,22,27,30
2017/06/14 14,15,22,29,30,35,36
2017/06/17 8,13,15,17,24,30,39
2017/06/21 1,16,23,30,31,38,39
2017/06/24 14,15,18,23,26,31,35
2017/06/28 1,12,23,25,28,30,31
2017/07/01 2,4,15,16,17,31,33
2017/07/05 8,9,14,22,24,25,29
2017/07/08 5,16,23,26,31,33,40
2017/07/12 8,11,17,22,24,31,36
2017/07/15 9,25,27,29,32,36,40
2017/07/19 2,4,19,31,32,35,36
2017/07/22 2,19,26,30,33,36,37
2017/07/26 1,9,13,18,21,37,40
2017/07/29 5,17,21,25,27,35,40
2017/08/02 4,11,14,21,22,23,30
2017/08/05 6,21,24,25,28,37,38
2017/08/09 7,15,19,28,29,38,39
2017/08/12 2,6,12,19,20,25,34
2017/08/16 13,20,27,29,35,37,38
2017/08/19 10,14,15,22,25,29,31
2017/08/23 10,17,18,30,31,33,38
2017/08/26 1,2,5,12,18,35,37
2017/08/30 4,9,10,20,31,34,38
2017/09/02 2,7,11,15,16,23,33
2017/09/06 3,10,21,22,28,29,30
2017/09/09 1,14,16,27,29,31,39
2017/09/13 9,18,20,27,30,34,38
2017/09/16 1,6,10,14,32,37,38
2017/09/20 4,5,9,18,27,32,35
2017/09/23 3,4,8,17,18,23,29
2017/09/27 4,9,23,25,34,36,37
2017/09/30 4,13,16,21,24,32,36
2017/10/04 1,7,8,12,24,28,31
2017/10/07 3,19,22,23,27,31,37
2017/10/11 7,8,10,13,29,35,37
2017/10/14 2,6,11,15,31,33,40
2017/10/18 5,11,16,26,34,35,38
2017/10/21 10,12,14,18,19,29,38
2017/10/25 5,17,23,24,26,34,39
2017/10/28 2,3,18,28,30,31,37
2017/11/01 2,7,21,28,29,33,38
2017/11/04 1,9,17,23,26,28,30
2017/11/08 1,7,13,16,23,25,37
2017/11/11 13,17,19,20,21,23,27
2017/11/15 1,7,13,16,25,32,37
2017/11/18 3,7,8,21,28,36,39
2017/11/22 11,15,19,22,25,29,32
2017/11/25 1,2,4,23,27,34,35
2017/11/29 2,10,15,18,22,24,39
2017/12/02 5,13,18,21,27,31,38
2017/12/06 2,5,11,15,26,30,39
2017/12/09 3,4,9,11,21,31,34
2017/12/13 10,14,22,24,34,38,40
2017/12/16 1,10,16,18,20,27,39
2017/12/20 5,6,26,28,31,32,33
2017/12/23 4,11,16,18,19,23,33
2017/12/27 5,6,14,17,33,37,38
2017/12/30 3,16,17,20,23,24,34
2018/01/03 2,4,7,9,32,33,36
2018/01/06 7,10,15,18,21,26,34
2018/01/10 1,3,20,22,24,30,33
2018/01/13 8,13,29,33,35,36,38
2018/01/17 6,9,11,19,20,24,36
2018/01/20 13,25,29,34,37,39,40
2018/01/24 11,14,17,28,32,33,37
2018/01/27 5,8,10,11,20,31,40
2018/01/31 4,7,10,28,31,35,37
2018/02/03 2,10,11,18,21,32,34
2018/02/07 5,7,12,18,21,29,32
2018/02/10 3,10,18,20,27,32,38
2018/02/14 11,14,16,17,22,30,34
2018/02/17 5,14,17,28,29,35,37
2018/02/21 7,16,22,26,30,32,36
2018/02/24 4,15,16,21,30,33,36
2018/02/28 4,15,17,30,32,37,39
2018/03/03 4,5,22,23,30,36,40
2018/03/07 13,15,16,32,35,37,38
2018/03/10 5,8,15,18,24,28,35
2018/03/14 13,18,21,29,30,31,38
2018/03/17 2,3,6,18,23,33,39
2018/03/21 6,17,18,19,22,30,39
2018/03/24 6,16,17,22,26,31,37
2018/03/28 2,8,18,22,27,32,38
2018/03/31 1,3,9,11,19,23,36
2018/04/04 1,7,8,12,25,27,29
2018/04/07 8,11,14,17,22,23,40
2018/04/11 6,12,13,18,24,33,40
2018/04/14 13,17,25,26,28,36,37
2018/04/18 1,5,8,25,26,32,34
2018/04/21 3,7,8,18,21,30,35
2018/04/25 6,7,11,14,22,35,40
2018/04/28 8,11,12,16,17,26,37
2018/05/02 8,9,19,26,38,39,40
2018/05/05 2,4,7,8,10,14,17
2018/05/09 1,3,13,20,22,23,28
2018/05/12 2,3,9,15,33,34,38
2018/05/16 5,6,10,14,21,22,29
2018/05/19 2,8,11,19,23,28,36
2018/05/23 4,6,14,15,18,29,32
2018/05/26 4,14,16,18,30,33,34
2018/05/30 9,12,19,20,21,27,36
2018/06/02 14,16,17,23,24,26,30
2018/06/06 2,4,7,16,30,31,39
2018/06/09 2,3,5,16,32,33,35
2018/06/13 1,2,4,12,16,20,34
2018/06/16 1,3,7,10,12,23,33
2018/06/20 7,17,23,27,30,31,38
2018/06/23 3,12,27,30,34,37,39
2018/06/27 5,9,19,21,28,32,36
2018/06/30 1,4,11,13,24,27,36
2018/07/04 11,18,22,25,33,34,36
2018/07/07 1,9,19,32,34,35,36
2018/07/11 12,15,16,18,25,27,35
2018/07/14 2,7,8,13,29,32,39
2018/07/18 8,11,17,18,20,24,35
2018/07/21 2,3,12,13,30,36,39
2018/07/25 8,13,20,22,27,30,32
2018/07/28 2,9,26,28,32,34,40
2018/08/01 4,10,19,25,28,32,39
2018/08/04 5,8,14,27,28,29,35
2018/08/08 7,17,25,27,35,38,39
2018/08/11 2,4,15,18,21,23,28
2018/08/15 4,9,11,12,16,30,34
2018/08/18 6,16,19,23,30,35,39
2018/08/22 6,10,13,14,31,32,34
2018/08/25 2,5,6,11,16,20,33
2018/08/29 2,12,14,20,23,24,33
2018/09/01 4,14,22,25,26,36,40
2018/09/05 20,25,26,27,30,35,40
2018/09/08 7,8,11,24,26,32,34
2018/09/12 13,17,18,19,28,33,39
2018/09/15 4,5,7,8,9,23,37
2018/09/19 6,9,18,19,23,27,36
2018/09/22 1,6,16,20,21,33,34
2018/09/26 1,8,10,11,23,32,33
2018/09/29 1,6,15,28,29,34,36
2018/10/03 11,14,18,19,20,28,39
2018/10/06 1,4,5,7,11,22,31
2018/10/10 1,2,8,18,27,28,30
2018/10/13 5,7,11,16,24,27,40
2018/10/17 10,16,21,23,27,31,40
2018/10/20 3,8,22,32,33,35,38
2018/10/24 2,4,10,14,15,22,36
2018/10/27 10,13,22,23,25,32,34
2018/10/31 8,13,16,31,34,38,40
2018/11/03 6,10,16,26,27,29,32
2018/11/07 3,12,22,31,32,36,37
2018/11/10 13,24,29,31,34,35,39
2018/11/14 13,31,32,33,37,39,40
2018/11/17 1,3,8,23,25,28,40
2018/11/21 15,19,26,27,30,31,32
2018/11/24 5,10,14,24,28,30,40
2018/11/28 1,11,19,20,30,35,36
2018/12/01 1,6,9,11,26,30,33
2018/12/05 15,18,24,25,26,27,34
2018/12/08 4,7,9,13,15,25,30
2018/12/12 6,7,14,20,24,27,37
2018/12/15 11,12,14,17,19,21,33
2018/12/19 1,3,6,17,22,23,30
2018/12/22 2,12,13,22,27,32,36
2018/12/26 11,12,22,27,36,38,40
2018/12/29 11,16,18,28,32,35,36
2019/01/02 8,12,17,25,37,38,39
2019/01/05 7,10,16,18,19,29,36
2019/01/09 3,6,20,22,25,31,40
2019/01/12 1,7,9,21,26,30,32
2019/01/16 4,14,15,18,24,26,33
2019/01/19 13,14,20,23,25,28,29
2019/01/23 9,12,13,18,27,38,39
2019/01/26 5,16,21,24,27,29,38
2019/01/30 2,9,12,17,21,29,39
2019/02/02 2,19,21,30,33,36,40
2019/02/06 3,5,12,14,15,23,33
2019/02/09 11,15,19,20,21,31,33
2019/02/13 2,4,15,17,25,33,37
2019/02/16 12,16,19,20,24,26,39
2019/02/20 5,7,10,22,24,31,40
2019/02/23 7,13,21,22,23,24,25
2019/02/27 4,7,17,27,31,32,38
2019/03/02 11,12,14,15,22,32,35
2019/03/06 10,21,23,25,26,30,35
2019/03/09 1,4,5,6,13,20,38
2019/03/13 2,6,11,15,18,24,33
2019/03/16 5,8,21,32,37,38,39
2019/03/20 4,10,19,23,27,31,40
2019/03/23 3,6,11,17,19,30,34
2019/03/27 12,14,17,18,32,35,40
2019/03/30 3,4,6,11,25,28,29
2019/04/03 13,20,21,22,25,32,37
2019/04/06 6,7,8,17,24,34,36
2019/04/10 21,25,28,29,30,33,38
2019/04/13 1,3,11,21,22,24,32
2019/04/17 8,11,14,26,29,34,35
2019/04/20 3,5,8,16,26,27,39
2019/04/24 1,5,11,21,25,29,40
2018/07/25 8,13,20,22,27,30,32
2018/07/28 2,9,26,28,32,34,40
2018/08/01 4,10,19,25,28,32,39
2018/08/04 5,8,14,27,28,29,35
2018/08/08 7,17,25,27,35,38,39
2018/08/11 2,4,15,18,21,23,28
2018/08/15 4,9,11,12,16,30,34
2018/08/18 6,16,19,23,30,35,39
2018/08/22 6,10,13,14,31,32,34
2018/08/25 2,5,6,11,16,20,33
2018/08/29 2,12,14,20,23,24,33
2018/09/01 4,14,22,25,26,36,40
2018/09/05 20,25,26,27,30,35,40
2018/09/08 7,8,11,24,26,32,34
2018/09/12 13,17,18,19,28,33,39
2018/09/15 4,5,7,8,9,23,37
2018/09/19 6,9,18,19,23,27,36
2018/09/22 1,6,16,20,21,33,34
2018/09/26 1,8,10,11,23,32,33
2018/09/29 1,6,15,28,29,34,36
2018/10/03 11,14,18,19,20,28,39
2018/10/06 1,4,5,7,11,22,31
2018/10/10 1,2,8,18,27,28,30
2018/10/13 5,7,11,16,24,27,40
2018/10/17 10,16,21,23,27,31,40
2018/10/20 3,8,22,32,33,35,38
2018/10/24 2,4,10,14,15,22,36
2018/10/27 10,13,22,23,25,32,34
2018/10/31 8,13,16,31,34,38,40
2018/11/03 6,10,16,26,27,29,32
2018/11/07 3,12,22,31,32,36,37
2018/11/10 13,24,29,31,34,35,39
2018/11/14 13,31,32,33,37,39,40
2018/11/17 1,3,8,23,25,28,40
2018/11/21 15,19,26,27,30,31,32
2018/11/24 5,10,14,24,28,30,40
2018/11/28 1,11,19,20,30,35,36
2018/12/01 1,6,9,11,26,30,33
2018/12/05 15,18,24,25,26,27,34
2018/12/08 4,7,9,13,15,25,30
2018/12/12 6,7,14,20,24,27,37
2018/12/15 11,12,14,17,19,21,33
2018/12/19 1,3,6,17,22,23,30
2018/12/22 2,12,13,22,27,32,36
2018/12/26 11,12,22,27,36,38,40
2018/12/29 11,16,18,28,32,35,36
2019/01/02 8,12,17,25,37,38,39
2019/01/05 7,10,16,18,19,29,36
2019/01/09 3,6,20,22,25,31,40
2019/01/12 1,7,9,21,26,30,32
2019/01/16 4,14,15,18,24,26,33
2019/01/19 13,14,20,23,25,28,29
2019/01/23 9,12,13,18,27,38,39
2019/01/26 5,16,21,24,27,29,38
2019/01/30 2,9,12,17,21,29,39
2019/02/02 2,19,21,30,33,36,40
2019/02/06 3,5,12,14,15,23,33
2019/02/09 11,15,19,20,21,31,33
2019/02/13 2,4,15,17,25,33,37
2019/02/16 12,16,19,20,24,26,39
2019/02/20 5,7,10,22,24,31,40
2019/02/23 7,13,21,22,23,24,25
2019/02/27 4,7,17,27,31,32,38
2019/03/02 11,12,14,15,22,32,35
2019/03/06 10,21,23,25,26,30,35
2019/03/09 1,4,5,6,13,20,38
2019/03/13 2,6,11,15,18,24,33
2019/03/16 5,8,21,32,37,38,39
2019/03/20 4,10,19,23,27,31,40
2019/03/23 3,6,11,17,19,30,34
2019/03/27 12,14,17,18,32,35,40
2019/03/30 3,4,6,11,25,28,29
2019/04/03 13,20,21,22,25,32,37
2019/04/06 6,7,8,17,24,34,36
2019/04/10 21,25,28,29,30,33,38
2019/04/13 1,3,11,21,22,24,32
2019/04/17 8,11,14,26,29,34,35
2019/04/20 3,5,8,16,26,27,39
2019/04/24 1,5,11,21,25,29,40
